baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
ENSG00000227232.5	35.6570218528832	0.00223917374083417	0.342697652573128	0.00653396287958628	0.994786688992574	0.997107656110329
ENSG00000268903.1	3.19134277983338	-0.287708220112887	1.12940751317562	-0.254742612171864	0.798921901947959	0.863491536236247
ENSG00000241860.7	5.05466783549401	-0.289259595933293	0.363933238555242	-0.794814997062672	0.426721125905401	0.558540870814284
ENSG00000279457.4	29.6927550006642	-0.100717493057657	0.236965317783746	-0.425030523452263	0.670814423784299	0.767521690761077
ENSG00000228463.10	3.5560919233068	-2.16764884514137	0.811051372352706	-2.67264062306365	0.00752568248989695	0.0226400574463912
ENSG00000237094.12	11.434177258836	-0.740574618841302	0.527558246585482	-1.40377792146086	0.160384990488231	0.2669525968187
ENSG00000225972.1	93.3220067626698	0.0592240318768186	1.47631624072556	0.0401160877615977	0.968000575946823	0.979750442092759
ENSG00000225630.1	602.721338685635	-0.0569569750625844	0.28721551786456	-0.198307443435014	0.842804528320384	0.894879813489546
ENSG00000237973.1	5015.82906281247	0.77028537983843	0.716216590439454	1.0754922325463	0.282154407940603	0.411053107978046
ENSG00000278791.1	23.7733633869588	0.678272158963313	1.93441030209803	0.350635104779824	0.725862116775734	0.810194134522567
ENSG00000229344.1	12.8979938214253	0.525235762779168	0.490557604658761	1.07069130677228	0.284308252879705	0.413489821416598
ENSG00000248527.1	951.063274505959	0.303925027763003	0.327007878089415	0.929411944258725	0.35267564012849	0.485921773702797
ENSG00000198744.5	47.6336973850755	-3.05803858865105	0.94419603764116	-3.23877507079017	0.00120044202881122	0.00498489921692947
ENSG00000228327.3	46.7404252869712	-0.207005078331615	0.234197038173679	-0.88389281071139	0.376754078509392	0.510204488419283
ENSG00000237491.10	36.5360703830286	-0.164644253839541	0.263776133666178	-0.624181769408703	0.532508218062663	0.654686288749181
ENSG00000230092.7	12.2146568546078	0.162445236893846	0.273069126042459	0.594886867102609	0.551919096445723	0.671036531672124
ENSG00000228794.10	189.108606563948	0.0552301104643801	0.234734055774348	0.235288016824765	0.813985195272701	0.873870299284668
ENSG00000225880.5	16.6490287780702	0.0595856972867592	0.217180185298387	0.274360652215549	0.783807478186379	0.853750944381812
ENSG00000188976.11	1060.63798494708	-0.501297930666618	0.208340549394558	-2.40614672526976	0.0161217882410902	0.0424425836468679
ENSG00000187961.14	61.6991356651794	-0.38860472306975	0.352285457776036	-1.10309612415737	0.269985423821213	0.397693198088462
ENSG00000187583.11	33.5191526086077	-0.0329916512117324	0.536336335223084	-0.0615129892290625	0.950950670087637	0.968994902664324
ENSG00000188290.10	9.03536454256867	-0.265340625197347	0.74447677691398	-0.356412225908836	0.721531874801775	0.806727745959416
ENSG00000187608.10	45.2108634323733	-0.966729843531052	0.610230258290083	-1.58420502818053	0.113147069434733	0.203292334409419
ENSG00000188157.15	1728.87772850392	0.750530853359925	0.477988347342786	1.57018650670513	0.116371727766532	0.207828046079689
ENSG00000217801.10	21.0117601279468	-2.68810468524974	0.784010327589996	-3.42865979012397	0.00060656935357615	0.00281451598153836
ENSG00000237330.3	43.169073181792	0.160120590279919	0.367904757733839	0.435222939942946	0.663400613026445	0.762083526979516
ENSG00000131591.17	117.015250115861	-0.0446571332119584	0.390870620373128	-0.114250421710714	0.90903928280422	0.939759066058642
ENSG00000223823.1	4.73219109569764	-0.495132028760324	0.681528641657816	-0.726502157790342	0.467530985173117	0.596010019932341
ENSG00000207607.3	5.46322430109585	0.416365168550648	0.714495270525966	0.582740272366179	0.560068158075376	0.678317571826847
ENSG00000198976.1	9.47439612598898	0.474681981254673	0.655501735202546	0.724150609773746	0.468973276716659	0.597170987270614
ENSG00000272141.1	78.4847861279087	0.453851635116818	0.571049541486544	0.794767532665137	0.426748740432389	0.558540870814284
ENSG00000162571.14	16.6101876488517	-0.431938935428002	0.469107053868706	-0.920768365910978	0.357171374180059	0.490645120015733
ENSG00000078808.17	925.846040599564	0.843220825949186	0.220325093326536	3.82716654384655	0.000129626813306902	0.000767431121800781
ENSG00000176022.7	144.450516006476	-0.014436670310951	0.251808326131999	-0.0573319815619728	0.954280744640006	0.971104209018059
ENSG00000184163.3	15.0581541348064	3.04700648402296	0.815628324983727	3.73577816106835	0.000187135590817829	0.00104320833448292
ENSG00000260179.1	4.42158568999278	-0.499087537722155	0.469483641120841	-1.06305628995004	0.287756425013093	0.417306998687073
ENSG00000160087.20	363.69671858643	0.330676937306197	0.171574802218981	1.92730478502405	0.053941657626739	0.112533020089226
